pair,logFC,AveExpr,t,P.Value,adj.P.Val,B,Protein
pbp1Δ / WT,-0.600000000000012,19.0933333333333,-15.8685047679874,2.21465228646219e-06,0.00616337731322429,5.27726636152075,MAM33
pbp1Δ / WT,0.573333333333334,17.2633333333333,13.1476095002527,7.15492718226706e-06,0.00995608117412461,4.38300892299903,IMD3
pbp1Δ / WT,-1.74,17.1966666666667,-11.8433434645058,1.36463618343925e-05,0.0126592749950381,3.84641680053628,PBP1
pbp1Δ / WT,-0.356666666666666,17.6516666666667,-11.243532737089,1.87804193684102e-05,0.0127610353375992,3.57053652408838,MEF1
pbp1Δ / WT,0.440000000000001,16.93,10.8491330539395,2.33690731488611e-05,0.0127610353375992,3.37794539600853,BNA5
pbp1Δ / WT,-0.333333333333332,17.77,-10.3659555694039,3.08545199837119e-05,0.0127610353375992,3.12895954858971,MRPL3
pbp1Δ / WT,-0.439999999999998,17.7166666666667,-10.2988831098328,3.20974658150179e-05,0.0127610353375992,3.09320469210951,CIT2
pbp1Δ / WT,-0.383333333333333,17.515,-9.92373446400512,4.02064921283238e-05,0.0139868334491407,2.88759863369619,ISM1
pbp1Δ / WT,-0.246666666666663,18.0833333333333,-9.5073334335777,5.2098070064239e-05,0.0160530969873578,2.64769059769817,MRP1
pbp1Δ / WT,-0.573333333333341,18.73,-9.34796808243453,5.76827056678324e-05,0.0160530969873578,2.55244830905475,MRPS35
pbp1Δ / WT,-0.289999999999996,16.9483333333333,-8.92893277384738,7.59571109809133e-05,0.0174420392046571,2.29247210336234,RSM25
pbp1Δ / WT,-0.276666666666664,18.575,-8.87601031700388,7.8706425836752e-05,0.0174420392046571,2.25861993499115,HOM3
pbp1Δ / WT,-0.249999999999996,18.8916666666667,-8.81130557065438,8.22240326411212e-05,0.0174420392046571,2.21691164007991,ENT5
pbp1Δ / WT,-0.273333333333326,16.3966666666667,-8.6165391069277,9.39492386847637e-05,0.0174420392046571,2.0892077914211,NUP100
pbp1Δ / WT,-0.409999999999993,18.085,-8.45272756267673,0.000105309028374881,0.0174420392046571,1.97923178588634,MRPL15
pbp1Δ / WT,0.233333333333338,17.56,8.44522160116538,0.000105866053718277,0.0174420392046571,1.97413522288558,USO1
pbp1Δ / WT,-0.219999999999999,17.7566666666667,-8.43613394298489,0.00010654497537879,0.0174420392046571,1.96795788736236,NOP2
pbp1Δ / WT,-0.396666666666665,17.2016666666667,-8.27608189903513,0.000119358060898932,0.0176148251761334,1.85793013096131,AIM36
pbp1Δ / WT,-0.393333333333329,15.8533333333333,-8.24398096834349,0.000122135266338435,0.0176148251761334,1.8355783664203,RSM24
pbp1Δ / WT,-0.27333333333333,17.3566666666667,-8.12682413922196,0.000132917075556266,0.0176148251761334,1.75318334258521,RMD9
pbp1Δ / WT,0.276666666666667,16.475,8.12681257580996,0.000132918192130363,0.0176148251761334,1.75317514617228,ATG22
pbp1Δ / WT,-0.279999999999998,17.5433333333333,-8.01165897168973,0.000144588878564875,0.0182904931384566,1.67091693226901,YLH47
pbp1Δ / WT,-0.32,19.1766666666667,-7.90697854612622,0.000156223615261376,0.0189030574466265,1.59502500447986,GSH1
pbp1Δ / WT,-0.399999999999995,18.7466666666667,-7.61079555505375,0.000195390272307491,0.0223556009422016,1.37437292938495,PET123
pbp1Δ / WT,-0.29666666666667,19.145,-7.57512894067061,0.000200822861500194,0.0223556009422016,1.34719660693103,DRE2
pbp1Δ / WT,-0.463333333333331,18.885,-7.31541496293666,0.000246012353577126,0.0256484658159222,1.14525059897189,MRPL38
pbp1Δ / WT,-0.230000000000004,17.3583333333333,-7.30103386491384,0.000248835277409235,0.0256484658159222,1.13385619814324,ZPR1
pbp1Δ / WT,-0.273333333333341,19.77,-7.12594780104871,0.000286339592362576,0.0261216256118515,0.993301830302266,RSM23
pbp1Δ / WT,-0.219999999999999,17.7,-7.10899838009038,0.000290300363314637,0.0261216256118515,0.979513581215651,MZM1
pbp1Δ / WT,-0.196666666666669,18.7083333333333,-7.05426684151116,0.00030352281191947,0.0261216256118515,0.934767735896526,MDJ1
pbp1Δ / WT,0.266666666666666,19.01,7.05266878577168,0.00030391906401302,0.0261216256118515,0.933456126650141,URA8
pbp1Δ / WT,-0.283333333333331,18.195,-7.04589962053098,0.00030560408590097,0.0261216256118515,0.927897082361809,MET5
pbp1Δ / WT,-0.386666666666667,17.9766666666667,-7.00511705966159,0.000315983974508326,0.0261216256118515,0.894294279700468,LSM12
pbp1Δ / WT,-0.196666666666665,18.0783333333333,-6.9616358408806,0.000327495471091137,0.0261216256118515,0.858257275905035,BCY1
pbp1Δ / WT,0.196666666666676,18.695,6.93156038224846,0.000335737301075393,0.0261216256118515,0.833202893827162,VMA13
pbp1Δ / WT,0.286666666666662,18.8766666666667,6.92380388805376,0.000337901014023232,0.0261216256118515,0.826724284828868,RBK1
pbp1Δ / WT,-0.229999999999997,17.1783333333333,-6.81754275728719,0.000369200078697586,0.026515862832163,0.737259814786072,BNI4
pbp1Δ / WT,-0.183333333333334,18.0183333333333,-6.75958604218582,0.000387654810896155,0.026515862832163,0.687901262199284,RSC8
pbp1Δ / WT,-0.263333333333332,19.6583333333333,-6.73925625066021,0.000394375224593154,0.026515862832163,0.670492373249601,MET17
pbp1Δ / WT,-0.32,18.4433333333333,-6.72751046666116,0.000398318386180294,0.026515862832163,0.660411546389094,NDE1
pbp1Δ / WT,0.273333333333337,16.4166666666667,6.72543840971717,0.000399018637171093,0.026515862832163,0.658631479145309,MAG1
pbp1Δ / WT,-0.18,18.7233333333333,-6.70020295451028,0.000407660292966181,0.026515862832163,0.636910588650435,NCL1
pbp1Δ / WT,-0.343333333333337,18.5883333333333,-6.69434868519709,0.000409695329422568,0.026515862832163,0.631860651883756,MET14
pbp1Δ / WT,-0.253333333333327,19.0766666666667,-6.62017003298087,0.00043650750935904,0.0270324739704556,0.567512802330094,MNP1
pbp1Δ / WT,0.203333333333333,17.7516666666667,6.61857830875949,0.000437104322195654,0.0270324739704556,0.566124664873183,BBC1
pbp1Δ / WT,-0.186666666666671,19.1033333333333,-6.52310839020335,0.000474656754671051,0.0287167336575986,0.482294643144962,RIB1
pbp1Δ / WT,-0.190000000000001,18.8316666666667,-6.45098525995534,0.000505463815914814,0.029540169271616,0.418213148122462,SYP1
pbp1Δ / WT,0.240000000000006,19.5266666666667,6.44191560879811,0.000509496272022122,0.029540169271616,0.410108509520446,SKI8
pbp1Δ / WT,-0.176666666666666,18.125,-6.39423921231088,0.000531303911379574,0.0301758935789664,0.36733381195165,TIM44
pbp1Δ / WT,-0.370000000000005,15.7616666666667,-6.3577299196402,0.000548721357902467,0.0305418307808513,0.334382771047944,IFM1
pbp1Δ / WT,-0.216666666666672,19.5116666666667,-6.27117640493173,0.000592664832827951,0.0320596714148836,0.255581713781574,PPA2
pbp1Δ / WT,-0.236666666666668,18.545,-6.25924354737245,0.000599030870849424,0.0320596714148836,0.244641739546487,MRPS28
pbp1Δ / WT,-0.199999999999999,18.17,-6.19880491647967,0.000632489824375792,0.0329994979517513,0.188946984612222,ARP7
pbp1Δ / WT,0.210000000000001,15.5083333333333,6.16854448525347,0.000650035135443786,0.0329994979517513,0.16088193566682,UGA2
pbp1Δ / WT,-0.389999999999997,16.2583333333333,-6.15757950117704,0.00065652848352377,0.0329994979517513,0.150682687928145,RRF1
pbp1Δ / WT,-0.166666666666664,16.4566666666667,-6.14507822016881,0.00066402151825299,0.0329994979517513,0.139035056521239,FCP1
pbp1Δ / WT,0.163333333333341,17.8983333333333,6.10925995619301,0.000686032920613628,0.0334952564573285,0.105547989457744,SEC27
pbp1Δ / WT,-0.386666666666663,17.9833333333333,-6.0631344415224,0.000715607212095796,0.0338588857368792,0.0621728894822926,CYT1
pbp1Δ / WT,0.423333333333336,19.2483333333333,6.03486785809331,0.000734444066096821,0.0338588857368792,0.0354510250939608,GAP1
pbp1Δ / WT,-0.329999999999997,13.565,-6.00593039282323,0.000754312197264424,0.0338588857368792,0.00798352334211572,YML133C
pbp1Δ / WT,-0.176666666666669,18.545,-5.99828453995858,0.00075966297033527,0.0338588857368792,0.000707174650091957,ARP9
pbp1Δ / WT,-0.246666666666666,18.4233333333333,-5.99420696610586,0.000762534138533844,0.0338588857368792,-0.00317657560102003,QCR2
pbp1Δ / WT,-0.186666666666667,19.56,-5.98863346689432,0.000766478548840599,0.0338588857368792,-0.00848878711573509,IXR1
pbp1Δ / WT,-0.213333333333331,18.9433333333333,-5.9699384171722,0.0007798789532299,0.0339125488568564,-0.0263381802223392,ALD5
pbp1Δ / WT,-0.353333333333325,18.44,-5.89290784600312,0.000837964624502403,0.0344927180816313,-0.100387058798858,MRPS5
pbp1Δ / WT,-0.169999999999998,17.675,-5.89096871825885,0.000839488780859518,0.0344927180816313,-0.102261618520402,PUF3
pbp1Δ / WT,-0.256666666666671,16.5316666666667,-5.8858484390666,0.000843528431781348,0.0344927180816313,-0.107213892343243,QCR6
pbp1Δ / WT,-0.296666666666663,15.4183333333333,-5.87824838953425,0.000849565137010428,0.0344927180816313,-0.114571227121671,NVJ1
pbp1Δ / WT,0.18666666666666,18.9133333333333,5.82451512765973,0.000893667534426843,0.0344927180816313,-0.166816125799499,YJL055W
pbp1Δ / WT,0.153333333333336,18.5533333333333,5.82062755385984,0.000896957502206578,0.0344927180816313,-0.170611541227025,GET4
pbp1Δ / WT,-0.293333333333333,20.0333333333333,-5.81220065482036,0.000904136156993601,0.0344927180816313,-0.178845888175979,RPS29A
pbp1Δ / WT,-0.303333333333335,17.6816666666667,-5.8007440196419,0.00091400026030445,0.0344927180816313,-0.190056599245961,MRPL17
pbp1Δ / WT,-0.190000000000001,19.4683333333333,-5.79309610337856,0.000920652835093847,0.0344927180816313,-0.19755053209247,PXP2
pbp1Δ / WT,-0.233333333333334,18.2533333333333,-5.7777598929252,0.000934158824602411,0.0344927180816313,-0.21260257297267,HSP78
pbp1Δ / WT,-0.169999999999998,18.7383333333333,-5.77193417996001,0.000939347924337266,0.0344927180816313,-0.218328958917232,ZWF1
pbp1Δ / WT,0.203333333333333,16.475,5.76902667213304,0.00094194990089974,0.0344927180816313,-0.221188671802222,YCL012C
pbp1Δ / WT,0.150000000000002,18.9516666666667,5.75190950658083,0.000957434602033077,0.0345100497688943,-0.238048480371746,ERG2
pbp1Δ / WT,-0.263333333333332,17.7183333333333,-5.73301251667301,0.000974864677861926,0.0345100497688943,-0.256709140288947,SKN7
