pair,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pbp1Δ / WT,YMR056C_mRNA,252.472789216,0.127317934682938,0.191184591464509,0.665942447075151,0.505447887778548,0.839482256251152
pbp1Δ / WT,YBR085W_mRNA,601.593138607353,0.752927149305163,0.132314904703231,5.69041825630985,1.26728568952132e-08,1.81635098935088e-06
pbp1Δ / WT,YJR155W_mRNA,981.460908754307,0.0528638734243755,0.279546696694811,0.189105698795248,0.850009975082204,0.965073725743246
pbp1Δ / WT,YNL331C_mRNA,1181.46324835993,0.096331702005089,0.179409127761241,0.536938689837943,0.591309964807213,0.875478688069606
pbp1Δ / WT,YOL165C_mRNA,109.488563351735,-0.649659354042998,0.35273470122631,-1.84177896811515,0.0655074876868137,0.340339532166401
pbp1Δ / WT,YCR107W_mRNA,1823.5835637052,0.10546962692517,0.204358937761888,0.51609989795533,0.605784639220872,0.881469460689298
pbp1Δ / WT,YDL243C_mRNA,629.106357907238,0.135725649231105,0.286128235366067,0.474352519098508,0.635248545790585,0.893005045287277
pbp1Δ / WT,YNL141W_mRNA,9983.90412833248,-0.173553539721501,0.130092008066458,-1.3340830255525,0.182176648186731,0.574811077048963
pbp1Δ / WT,YHR047C_mRNA,21813.0048361912,-0.0382966831192388,0.101545088046865,-0.377139690908183,0.706069796191201,0.923634556803291
pbp1Δ / WT,YBL074C_mRNA,1680.84949371158,0.136691995486857,0.106104545697481,1.28827652565033,0.19764972153933,0.594178653095461
pbp1Δ / WT,YKL106W_mRNA,9693.22743451434,-0.111038732530693,0.0621777736801434,-1.78582676668196,0.0741273113919628,0.364717435826277
pbp1Δ / WT,YLR027C_mRNA,54349.9339702784,0.119906631829593,0.121876802630413,0.983834735090689,0.325196777595451,0.728515920722667
pbp1Δ / WT,YBR236C_mRNA,4492.23295318345,-0.0420171788772832,0.107151165721625,-0.392129927792316,0.694962215545576,0.919856771926525
pbp1Δ / WT,YKL112W_mRNA,10685.9646839471,-0.123050092008308,0.157312178632899,-0.782203215781884,0.434095154919448,0.805490016157964
pbp1Δ / WT,YMR072W_mRNA,10929.6367360754,-0.0224110007779449,0.0548838028003845,-0.40833542200884,0.683027437118206,0.914898706376335
pbp1Δ / WT,YJR108W_mRNA,230.32408326902,0.237580576775341,0.227176907125467,1.04579545421898,0.295655480391987,0.704372960781941
