pair,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pbp1Δ / WT,YMR056C_mRNA,252.514610541429,0.12797542922538,0.191176124775402,0.669411148362425,0.503233241999562,0.843879278009037
pbp1Δ / WT,YBR085W_mRNA,601.757447171096,0.753599092976738,0.131944151075229,5.71150056168134,1.11984327712675e-08,1.73367365019367e-06
pbp1Δ / WT,YJR155W_mRNA,981.302599424333,0.0535401302450579,0.27911672333498,0.191819858034096,0.847883315346996,0.963273752492591
pbp1Δ / WT,YNL331C_mRNA,1181.44996742464,0.0970157722295802,0.178942427287755,0.542161932751534,0.587706956890111,0.876432189599332
pbp1Δ / WT,YOL165C_mRNA,109.449491063251,-0.64900228814114,0.352450108107186,-1.84140186997408,0.0655626889866338,0.346389540146048
pbp1Δ / WT,YCR107W_mRNA,1823.74149004016,0.106143099647559,0.203903924587521,0.520554471240693,0.602677172669315,0.880999266408565
pbp1Δ / WT,YDL243C_mRNA,629.063314090854,0.136402621187981,0.285757253478736,0.477337388736246,0.633121891001631,0.894459343887491
pbp1Δ / WT,YNL141W_mRNA,9987.04060943533,-0.172867582015173,0.129580066074686,-1.33405999280428,0.182184195957752,0.580564955716016
pbp1Δ / WT,YHR047C_mRNA,21818.6370790388,-0.0376221390858617,0.10137890811297,-0.371104204870091,0.710559919273488,0.928471780264105
pbp1Δ / WT,YBL074C_mRNA,1681.06160832061,0.137374393794259,0.105614622819499,1.30071376601931,0.193356448498827,0.595390797086092
pbp1Δ / WT,YKL106W_mRNA,9695.95780646832,-0.110357039331309,0.0619062243375617,-1.78264852221571,0.0746435359439666,0.372211250021712
pbp1Δ / WT,YLR027C_mRNA,54356.9525443376,0.120577853407055,0.121813626339672,0.989855215957767,0.322244891739214,0.733258048620083
pbp1Δ / WT,YBR236C_mRNA,4493.01246007239,-0.0413467598631587,0.107151595182991,-0.385871622280076,0.699591748199865,0.922762730508068
pbp1Δ / WT,YKL112W_mRNA,10688.2095870437,-0.122371393221763,0.156967722670688,-0.779595901244568,0.435628769247285,0.812674790824848
pbp1Δ / WT,YMR072W_mRNA,10930.8934184207,-0.0217324434720097,0.0544152968558939,-0.399381143312752,0.689612386049557,0.919553241262422
pbp1Δ / WT,YJR108W_mRNA,230.31350334958,0.2382446790614,0.226754805265781,1.05067091646482,0.29340975797353,0.710882313332838
pbp1Δ / WT,YCR088W_mRNA,30141.8594924849,0.121000209844494,0.110511801720914,1.09490758416976,0.27355712607693,0.691640527515149
pbp1Δ / WT,YOR239W_pre-mRNA,18079.3284462953,-0.0294267910529003,0.0789213728393846,-0.372862128396926,0.709251059840005,0.927919456955712
pbp1Δ / WT,YNR033W_mRNA,7396.32150632673,-0.211841356375615,0.152799720912449,-1.38639884360126,0.165625149370467,0.555266749040652
pbp1Δ / WT,YMR289W_mRNA,5233.9138968487,0.0111176284379769,0.119703366702266,0.0928764891436131,0.92600168394422,0.982707795989628
pbp1Δ / WT,YER045C_mRNA,5745.07720343088,0.0133179504992116,0.130873168068321,0.101762268735323,0.918945375312342,0.981413172015183
pbp1Δ / WT,YGR037C_mRNA,21267.0194475788,0.0748885114741651,0.101509047391978,0.737752086126689,0.46066511423416,0.825270569840251
pbp1Δ / WT,YLR131C_mRNA,12470.5044443942,0.0415644989663542,0.166430349138433,0.24974110299908,0.802787569543004,0.955726446664179
pbp1Δ / WT,YLR144C_mRNA,6354.48500284525,-0.0131148574227907,0.129284152096845,-0.101442111891383,0.919199508414401,0.981413172015183
pbp1Δ / WT,YJR083C_mRNA,1970.32931540805,0.0203333715633287,0.128857986580551,0.157796750538378,0.874616959273038,0.970711086675661
pbp1Δ / WT,YBL015W_mRNA,2404.66285459595,-0.0739617108729972,0.135963281962186,-0.543982976915544,0.586453187209713,0.875536861909634
pbp1Δ / WT,YDL203C_mRNA,6932.69116669231,-0.247026988176704,0.137632305129894,-1.79483289147534,0.0726803286362705,0.367096318461042
pbp1Δ / WT,YPL267W_mRNA,1987.89933538954,-0.148864536655473,0.147113860024772,-1.01190014748037,0.311585798764296,0.726282936667158
pbp1Δ / WT,YLR304C_mRNA,54845.3630077228,-0.422736953894854,0.158060478065452,-2.67452660569458,0.00748348380146844,0.0907423527620682
pbp1Δ / WT,YJL200C_mRNA,25030.7143983905,0.133837447992301,0.17129079268908,0.781346422018357,0.434598773875243,0.812416150461923
pbp1Δ / WT,YKL192C_mRNA,24931.2895993854,-0.0253195523500952,0.117076086645999,-0.216265789841896,0.828780573805421,0.960451515012155
pbp1Δ / WT,YAL054C_mRNA,1302.75653785764,-0.171462951555402,0.13772508361372,-1.24496531101268,0.213144501621709,0.622598923780482
pbp1Δ / WT,YLR153C_mRNA,94173.3826051802,0.0343193929914619,0.127500474781054,0.269170707406351,0.787798320754749,0.950702254194401
pbp1Δ / WT,YFL039C_mRNA,221926.563771385,-0.081702396187838,0.188442305327279,-0.433567165536107,0.664602782528295,0.906053803663907
pbp1Δ / WT,YFL039C_pre-mRNA,1588.43980802251,-0.203726186057019,0.210059007539861,-0.969852178409249,0.332120179865693,0.744168306080752
pbp1Δ / WT,YDR448W_mRNA,2478.46057993885,0.0231004398934126,0.0807888375408725,0.285936035182159,0.774927113357549,0.945219698203556
pbp1Δ / WT,YMR184W_mRNA,3861.42249410735,0.143936230483361,0.19351966997594,0.743780880265329,0.457009049036962,0.825015800325906
