pair,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pbp1Δ / WT,YMR056C_mRNA,10.1553647755792,0.97075999246584,0.71903636279022,1.35008470044381,0.176988815350099,0.773372395013689
pbp1Δ / WT,YBR085W_mRNA,86.6641560573656,0.861991502192257,0.269981692368153,3.19277760884922,0.00140911424517012,0.0918000848774512
pbp1Δ / WT,YJR155W_mRNA,0.980442550222125,2.14693837921718,2.41594574022265,0.888653392943883,0.374189386446951,0.916808437339738
pbp1Δ / WT,YNL331C_mRNA,2.18522262640431,1.57798105808996,1.86886256672359,0.844353718773667,0.398471776209331,0.922963205864936
pbp1Δ / WT,YCR107W_mRNA,1.3873278917622,0.280059417652662,1.97461724487647,0.141829723395422,0.887214505516106,1
pbp1Δ / WT,YDL243C_mRNA,4.53051190065709,-0.702543780537408,1.01030009722307,-0.695381285687719,0.486816385432046,0.94925699748736
pbp1Δ / WT,YNL141W_mRNA,1021.03642517363,-0.191729186659498,0.160318193139569,-1.19592906397457,0.231724242153049,0.829462888771092
pbp1Δ / WT,YHR047C_mRNA,2403.84188994576,-0.0560683795780633,0.225816869569273,-0.248291368510285,0.803908976883893,0.999130928738514
pbp1Δ / WT,YBL074C_mRNA,71.2655286673281,0.212582545574311,0.297600718978557,0.714321344061096,0.475028496908944,0.946972159276077
pbp1Δ / WT,YKL106W_mRNA,431.387189232197,-0.0516157052948101,0.150737742240292,-0.342420581121145,0.732034402122407,0.99292780615384
pbp1Δ / WT,YLR027C_mRNA,4533.51507851547,0.0670600274746883,0.148137158623474,0.452688765586069,0.650772870344724,0.988691283753293
pbp1Δ / WT,YBR236C_mRNA,324.615081214486,0.0488926189069903,0.152773327083335,0.320033737828595,0.748942755357574,0.99292780615384
pbp1Δ / WT,YKL112W_mRNA,414.718749571199,-0.00142642483448819,0.180407135285162,-0.00790669854733576,0.993691433033165,1
pbp1Δ / WT,YMR072W_mRNA,404.169596693875,0.264816240113224,0.237365143213644,1.11564923361503,0.264572308932285,0.849734312393312
pbp1Δ / WT,YJR108W_mRNA,1.28686916034661,-1.25864804822709,2.50698647236035,-0.50205617864466,0.615628004046891,0.977645473584266
pbp1Δ / WT,YCR088W_mRNA,1016.81521049187,0.424970907654306,0.14468934799154,2.93712642674397,0.00331269023159464,0.147016437397303
pbp1Δ / WT,YOR239W_pre-mRNA,398.426561556372,0.191209688490797,0.185271474337607,1.03205142170116,0.302048029103028,0.882196909919131
pbp1Δ / WT,YNR033W_mRNA,277.0643313619,-0.428003001397339,0.215272081582115,-1.98819558138605,0.0467900634855476,0.49671304101553
pbp1Δ / WT,YMR289W_mRNA,127.132708613579,0.178724261885936,0.238061965505071,0.750746812943245,0.452805044072895,0.941414649011972
pbp1Δ / WT,YER045C_mRNA,39.3573729828342,0.148144588222279,0.339702411843042,0.436101078642705,0.662763394608763,0.992178703103748
pbp1Δ / WT,YGR037C_mRNA,1090.04011434366,0.353698315038913,0.160929298562553,2.19784910639768,0.0279598606875066,0.431284002001847
pbp1Δ / WT,YNR016C_mRNA,15132.8043689743,-0.0213765781368461,0.197097351245224,-0.108456952880355,0.913633225652534,1
pbp1Δ / WT,YLR131C_mRNA,295.921251520272,-0.0758387002383174,0.141758506732653,-0.534985179981786,0.592660105247755,0.975699038237174
pbp1Δ / WT,YLR144C_mRNA,252.379208561552,-0.242276701668734,0.236722237722166,-1.02346405644022,0.306088486095288,0.884841182663088
pbp1Δ / WT,YJR083C_mRNA,67.3269645578382,0.290888549783979,0.310229132293358,0.937657104068839,0.348420654995906,0.903153700517933
pbp1Δ / WT,YBL015W_mRNA,308.8017790705,-0.111517901893411,0.2575684089068,-0.432964206933325,0.665040773194398,0.992178703103748
pbp1Δ / WT,YDL203C_mRNA,79.686464398455,-0.115319777082297,0.263644190392114,-0.437406858504198,0.661816311062228,0.992178703103748
pbp1Δ / WT,YPL267W_mRNA,86.8580293546348,-0.248055542748676,0.227042688357027,-1.09255023600939,0.274591322326752,0.861899593550405
pbp1Δ / WT,YLR304C_mRNA,5194.8658134501,-0.482581218327404,0.281180160229728,-1.71627051472312,0.0861125423027361,0.622605752700507
pbp1Δ / WT,YJL200C_mRNA,1017.66860113675,0.0918352569828472,0.248717919724813,0.369234581426443,0.711952881914584,0.99292780615384
pbp1Δ / WT,YKL192C_mRNA,871.302646988126,0.0016953249810391,0.185074034941167,0.00916025298512582,0.992691277783029,1
pbp1Δ / WT,YAL054C_mRNA,15.9889239282379,-0.0784702307365547,0.69269986035275,-0.113281718718111,0.90980721028692,1
pbp1Δ / WT,YLR153C_mRNA,5050.59150731121,0.0213795229269125,0.251873144250686,0.0848821059923471,0.932355117788975,1
pbp1Δ / WT,YFL039C_mRNA,47479.4393194461,-0.00983153132750343,0.125442595974571,-0.078374743850936,0.937529963207667,1
pbp1Δ / WT,YFL039C_pre-mRNA,6.57170716196411,-1.84322624233926,1.71496722800604,-1.07478802640582,0.282469642384413,0.871033258475828
pbp1Δ / WT,YDR448W_mRNA,196.742884925888,0.0254270197706547,0.214115344282475,0.118753842027826,0.905470378543298,1
pbp1Δ / WT,YMR184W_mRNA,214.832818390047,0.264452567908295,0.237560557367895,1.11320065434412,0.265622261717654,0.851347250760815
pbp1Δ / WT,YKL206C_mRNA,429.616997528966,-0.0129689889439285,0.141024768537149,-0.0919624905501066,0.926727841466708,1
pbp1Δ / WT,YAR015W_mRNA,787.03125694618,0.27269785291543,0.147609592959237,1.84742635927963,0.0646853718356378,0.564111330323089
pbp1Δ / WT,YNL220W_mRNA,1201.04173792516,0.144837196870831,0.175454020757279,0.825499445642211,0.409088097289736,0.928628763875806
pbp1Δ / WT,YLR359W_mRNA,790.462720709588,0.011336494799122,0.153424047229232,0.0738899475268309,0.941097954695146,1
pbp1Δ / WT,YLR028C_mRNA,929.372859771009,-0.0164342725674479,0.143827609220168,-0.114263684535635,0.909028769449647,1
pbp1Δ / WT,YMR120C_mRNA,392.381733748254,-0.233292319952169,0.233383106026271,-0.999610999803509,0.317498797796968,0.884841182663088
