transcript_id,RNA_WT_rep1,RNA_WT_rep2,RNA_WT_rep3,RNA_pbp1d_rep1,RNA_pbp1d_rep2,RNA_pbp1d_rep3,RNA_pab1d_pbp1d_rep1,RNA_pab1d_pbp1d_rep2,RNA_pab1d_pbp1d_rep3,RPF_WT_rep1,RPF_WT_rep2,RPF_WT_rep3,RPF_pbp1d_rep1,RPF_pbp1d_rep2,RPF_pbp1d_rep3,RPF_pab1d_pbp1d_rep1,RPF_pab1d_pbp1d_rep2,RPF_pab1d_pbp1d_rep3,CDS_WT_rep1,CDS_WT_rep2,CDS_WT_rep3,CDS_pbp1d_rep1,CDS_pbp1d_rep2,CDS_pbp1d_rep3,CDS_pab1d_pbp1d_rep1,CDS_pab1d_pbp1d_rep2,CDS_pab1d_pbp1d_rep3
YMR056C_mRNA,2.57,2.69,2.11,3.08,2.73,2.64,4.41,3.8,3.43,0.9,0.84,0.65,1.65,1.8,1.22,4.23,1.75,1.91,0.98,0.92,0.71,1.43,1.84,1.34,4.25,1.67,2.19
YBR085W_mRNA,4.83,5.67,5.61,8.8,10.35,9.36,5.67,6.85,6.65,14.15,9.44,8.39,21.14,16.82,20.07,13.4,12.58,9.49,14.9,10.12,8.86,22.61,17.11,20.92,14.26,13.74,10.94
YJR155W_mRNA,7.02,7.01,6.72,7.94,7.04,7.65,12.69,36.57,29.26,0,0,0,0.15,0.14,0.16,0,0.51,0.58,0,0,0,0.17,0.15,0.18,0,0.15,0.66
YNL331C_mRNA,7.77,8.24,7.96,9.44,8.15,9.38,13.54,24.62,21.85,0,0.14,0,0.31,0.11,0,0.54,0.91,0.7,0,0.16,0,0.2,0.12,0,0.58,0.83,0.27
YOL165C_mRNA,0.87,0.98,0.68,0.61,0.51,0.57,4.99,10.11,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR107W_mRNA,15.3,15.46,14.43,17.78,16.26,17.1,16.01,33.79,26.09,0.22,0,0.14,0.16,0.12,0.13,0,0.69,0.48,0.26,0,0,0.21,0,0,0,0.38,0
YDL243C_mRNA,4.36,4.7,4.21,5.57,4.62,5.14,6.84,19.54,12.74,0.46,0.61,0.89,0.45,0.75,0.14,0.49,1.21,1.29,0,0,0,0,0,0,0,0,0
YNL141W_mRNA,135.99,147.02,149.73,129.94,132.56,141.04,50.43,55.18,77.45,202.44,229.75,209,162.01,200.71,200.51,69.28,91.35,98.72,214.14,244.82,221.92,171.95,212.29,214.21,72.86,97.62,105.91
YHR047C_mRNA,101.13,104.99,110.46,100.57,115.42,107.86,80.5,83.74,79.31,155.7,192.28,185.65,134.34,208.68,172.66,115.78,190.53,114.71,162.04,201.07,193,141.1,218.04,182.2,119.4,200.9,123.12
YBL074C_mRNA,14.11,14.66,14.34,17.16,15.27,17.45,18.6,24.99,24.59,9,6.72,8.46,7.38,10.55,10.25,10.22,14.43,16.12,8.95,6.92,8.61,7.09,10.97,10.32,9.88,15.3,13.99
YKL106W_mRNA,89.04,91.92,91.45,91.1,83.13,91.21,53.09,53.94,60.78,61.06,62.21,63.16,52.61,58.55,69.55,26.46,31.26,28.79,64.18,66.44,66.69,56.28,61.85,73.64,27.5,32.8,31.59
YLR027C_mRNA,437.33,415.45,421.5,501.24,474.69,480.64,832.29,642.47,802.64,561.26,478.26,446.26,610.46,490,457.61,928.99,782.81,958.49,577.08,488.44,455.35,635.45,498.83,465.52,943.82,777.71,951.07
YBR236C_mRNA,36.35,38.18,36.83,37.96,38.55,37.15,51.61,47.79,45.38,36.16,33.57,35.72,34.4,35.85,39.21,59.51,53.66,46.83,37.98,34.93,37.48,36.5,37.62,40.42,60.99,56.14,47.95
YKL112W_mRNA,62.57,55.07,55.51,62,47.89,57.67,48.87,42.83,68.11,33.8,33.61,37.73,37.44,28.78,39.49,22.25,23.47,30,34.36,34.51,39.05,37.33,30.32,41.32,22.36,24.48,30.68
YMR072W_mRNA,203.98,199.67,200.69,214.94,198.41,212.74,291.98,325.97,341.86,91.76,82.21,69.78,139.18,80.07,73.24,154.35,145.36,137.79,86.43,82.36,67.4,121.28,75.99,65.94,137.87,138.81,118
YJR108W_mRNA,3.91,4.12,3.21,4.86,4.27,4.83,7.57,13.44,13.12,0,0.33,0,0,0,0,0.57,0.72,2.1,0,0.36,0,0,0,0,0,0.81,1.81
YCR088W_mRNA,166.94,169.28,174.52,178.44,209.25,195.41,255.21,286.42,248.16,67.58,68.84,66.84,97.36,90.61,85.87,153.48,163.3,117.86,69.77,71.55,70.38,99.62,93.27,88.96,157.81,171.32,124.07
YOR239W_pre-mRNA,113.17,112.22,122.81,116.09,121.74,120.75,81.42,83.01,91.31,41.52,32.54,29.94,46.08,38.59,34.05,35.92,29.83,27.18,43.06,33.18,31.34,48.07,40.1,34.92,38.15,30.49,27.48
YNR033W_mRNA,35.15,37.65,38.39,32.45,33.3,35.16,26.58,44.8,41.1,22.91,24.22,29.29,16.68,19.9,20.6,11.72,18.91,14.42,24.13,25.85,31.09,17.46,20.84,21.37,12.17,19.79,14.41
YMR289W_mRNA,40.43,39.82,39.58,42.4,40.43,44.18,61.88,91.69,86.19,16.14,14.02,13.88,14.78,15.07,20.22,18.92,18.97,27.2,16.98,14.99,14.82,16.7,15.39,21.63,20.25,19.96,29.21
YER045C_mRNA,28.52,28.76,26.48,30.21,28.24,30.43,55.66,78.8,89.8,3.25,3.26,2.31,3.37,3.11,3.31,6.47,5.41,6.86,3.54,2.84,2.3,3.37,3.03,3.55,6.35,5,6.85
YGR037C_mRNA,585.69,592.96,576.74,669.84,604.92,670.16,523.72,696.26,584.59,343.7,310.43,285.82,456.51,327.26,417.81,317.5,414.44,348.56,354.23,317.6,297.75,472.74,337.66,436.2,316.92,417.49,367.19
