"","transcript_id","RNA_WT_rep1","RNA_WT_rep2","RNA_WT_rep3","RNA_pbp1d_rep1","RNA_pbp1d_rep2","RNA_pbp1d_rep3","RNA_pab1d_pbp1d_rep1","RNA_pab1d_pbp1d_rep2","RNA_pab1d_pbp1d_rep3","RPF_WT_rep1","RPF_WT_rep2","RPF_WT_rep3","RPF_pbp1d_rep1","RPF_pbp1d_rep2","RPF_pbp1d_rep3","RPF_pab1d_pbp1d_rep1","RPF_pab1d_pbp1d_rep2","RPF_pab1d_pbp1d_rep3","CDS_WT_rep1","CDS_WT_rep2","CDS_WT_rep3","CDS_pbp1d_rep1","CDS_pbp1d_rep2","CDS_pbp1d_rep3","CDS_pab1d_pbp1d_rep1","CDS_pab1d_pbp1d_rep2","CDS_pab1d_pbp1d_rep3"
"1","YMR056C_mRNA",212.39,236.22,154,309.08,250.33,198.62,393.48,305.28,267.26,5.02,5,4,12,13.87,8.06,27.03,14,7,5,5,4,9,12.86,8,25,12,7
"2","YBR085W_mRNA",398,498,410,882.69,945.99,704,506,550,517,78.58,55.92,51.33,153.49,129.54,132.81,85.53,100.62,34.72,75.79,54.84,49.59,142.42,119.77,124.91,83.73,98.82,34.92
"3","YJR155W_mRNA",543,576.98,460.24,747.52,604,540.05,1061.65,2754.36,2134.29,0,0,0,1,1,1,0,3.88,2,0,0,0,1,1,1,0,1,2
"4","YNL331C_mRNA",770.46,869.02,699.41,1139.08,895.51,847.61,1451.86,2376.06,2042.27,0,1.01,0,2.65,1,0,4.01,8.52,3.01,0,1,0,1.49,1,0,4,7,1
"5","YOL165C_mRNA",36.1,43.08,24.95,30.81,23.31,21.57,224.05,408.31,289.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","YCR107W_mRNA",1467.6,1578.41,1226.13,2075.73,1728.65,1496.27,1660.69,3155.54,2359.08,1.37,0,1,1.35,1.02,1,0,6.26,2,1.52,0,0,1.51,0,0,0,3.13,0
"7","YDL243C_mRNA",381.29,437.3,326.36,592.65,448.29,410.04,647.56,1664.67,1050.96,2.7,3.81,5.75,3.41,6.07,1,3.28,10.15,4.98,0,0,0,0,0,0,0,0,0
"8","YNL141W_mRNA",11246.02,12941.48,10972.73,13079.99,12158.16,10639.96,4511.39,4444.04,6040,1127.15,1364.11,1282.52,1179.08,1549.71,1330.34,443.48,732.59,361.95,1091.99,1330,1245,1086,1490,1282,428.89,703.82,338.91
"9","YHR047C_mRNA",21555.03,23819.11,20861.71,26092.32,27281.9,20972.53,18561.33,17379.95,15939.71,2046.81,2696.14,2690.78,2304.1,3805.51,2705.37,1748.69,3608.72,992.03,1953.84,2583.51,2561.03,2103.17,3619.95,2579.07,1660.98,3426.35,930.67
"10","YBL074C_mRNA",1325,1465,1193,1962,1590,1495,1890,2285,2178,56,44.58,58,60,91,76,73.03,129.24,66,51,42,54,50,86,69,65,123.27,50
"11","YKL106W_mRNA",10476,11511.9,9534.99,13046.96,10847,9790.27,6756.92,6179.98,6744,464.02,504.19,529.04,522.12,617.04,629.84,231.08,342.13,144.01,447,493,511,485,593.01,602,221,323,138
"12","YLR027C_mRNA",42946.35,43425.02,36677.65,59912.87,51696.56,43056.77,88416.96,61436.15,74326.28,3630.44,3299.11,3181.66,5159.14,4395.59,3527.38,6907.13,7293.54,4081.82,3420,3084,2969,4662,4069.21,3238,6456,6517,3535.97
"13","YBR236C_mRNA",3926.48,4389,3525,4991.16,4618,3660.01,6029.99,5026,4622,254.48,252,277.11,316.24,350,328.92,481.4,544.07,216.99,244.96,240,266,291.37,334,306,454,512,194
"14","YKL112W_mRNA",11696,10956.02,9193.66,14106.9,9927.01,9834.03,9880.96,7795.05,12004.48,392.84,416.62,483.42,567.88,464.03,547,297.08,392.94,229.4,366.2,391.94,458,492,445,517,275,369,205
"15","YMR072W_mRNA",9183,9568,8005.75,11778.19,9906.01,8736.88,14219.91,14289.83,14512.99,310.04,296.11,259.73,616.01,375,294.8,599.98,707.1,306.93,267,271,229,465,323,239,492,606,229
"16","YJR108W_mRNA",143,160,104,216,173,161,299,478,452,0,1,0,0,0,0,1.9,3,4,0,1,0,0,0,0,0,3,3
"17","YCR088W_mRNA",23951.04,25850.62,22186.33,31161.15,33292.31,25574.04,39609.34,40013.43,33572.65,614.82,668.02,670.36,1156.39,1143.41,931.1,1604.66,2140.46,705.7,582,635.95,645.97,1027.82,1071,870.97,1518.93,2020.9,648.94
"18","YOR239W_pre-mRNA",18326.71,19342.25,17621.85,22882.32,21863.87,17838.2,14263.62,13089.47,13943.92,422.28,353.01,335.77,611.7,544.48,412.82,419.78,437.06,181.92,401.6,329.69,321.59,554.41,514.85,382.28,410.58,402.23,160.69
"19","YNR033W_mRNA",7057,8045,6829,7930,7414,6440,5774,8758,7781,284.75,321.09,401.29,270.53,343.01,305.08,167.32,338.66,117.89,275,314,390,246,327,286,160,319,103
"20","YMR289W_mRNA",3987,4180.01,3459,5089,4422,3974,6601.45,8804.33,8015,104.77,97.09,99.36,125.33,135.66,156.45,141.22,177.4,116.27,101,95,97,123,126,151,139,167.87,109
"21","YER045C_mRNA",3865.94,4148.99,3181.13,4984.1,4245.09,3762.91,8162.51,10401,11478.91,28.06,30.01,22.01,38.03,37.28,34.06,64.26,67.3,39,28,24,20,33,33,33,58,56,34
"22","YGR037C_mRNA",19848,21388.73,17318.77,27629.8,22734.06,20717.14,19199.42,22976,18681,939.01,904.02,860.07,1635.88,1239.04,1359.61,998.32,1629.72,628.21,884,844,817,1466,1159,1277,913.97,1471.88,576
"24","YLR131C_mRNA",9819.95,10649,9040,13092.98,11490.01,10387.24,12132.22,19341.01,18416.04,293.19,312.89,288.4,352.56,392.82,300.03,274.2,329.86,173.79,277,290,272,303.03,367.02,281,256,290,144
"25","YLR144C_mRNA",5311,6051.95,4999,6674,6613,5356,6422,8729.16,7516.73,242.94,270.02,318.95,207.07,371.35,288.06,199.05,340.2,109.19,235,257,312,194,361,274,193,319,102
"26","YJR083C_mRNA",1598,1791,1404,2115,1819,1652,2649,2074,2959,47,53.01,51.98,103.01,68,58.02,108.02,92.04,45.04,45,51,50,90,62,55,102,86,39
"27","YBL015W_mRNA",2346,2718.83,2191.5,2800,3018,2122,1827,2341,1952.99,297.44,384.45,405.14,295.97,526.71,413.2,166.99,318.26,81,285,366,392,271,507,391,154,304,72
"28","YDL203C_mRNA",6531,7211,5854,7448.01,6113.97,5488,6435.86,9296.55,8262.01,89.03,72.04,91.02,100,103.05,84,55.3,77.01,51.91,82,69,91,88,99,81,54,72,45
"29","YPL267W_mRNA",1708,1846,1522,2044.04,1680.95,1552,2193,2404,3237,85,77.03,83.1,84,91,79,119,124.71,56,81,71,79,76,85,75,113,122,53
"30","YLR304C_mRNA",50161.11,57040.01,46048.42,47010.4,47838.36,36656.22,56085.91,86991.02,71204.25,3830.96,5177.34,5133.86,3253.54,5195.26,4000.18,4053.66,13317.26,4329.75,3661,4951.09,4919.47,2973.08,4960.03,3800,3877,12694.99,4052
"31","YJL200C_mRNA",23630.51,25569.4,20898.95,30581.33,32397.02,25278,15609.06,23484.99,24949.81,876.44,1060.98,1084.01,1059.3,1596.37,1303.45,528.42,1436.37,536.23,836,1019.99,1048,966.29,1509.98,1242.99,514,1357,500
"32","YKL192C_mRNA",19525.36,21187.11,16946,25293.87,20053.96,19787.33,41668.03,35356.44,30692.11,597.21,653.69,551.99,872.3,786.13,572.04,1620.43,1931.78,628.59,561,617.04,518,776,743,521,1527,1773,552
"33","YAL054C_mRNA",954,1013,731.04,1095.44,853.95,804.01,1910.03,2483.96,2442.21,6.99,4.6,5.54,5.66,7.57,6.85,17.48,61.27,27.95,3,1,3,3.71,4,4,15,49.01,25.01
"34","YLR153C_mRNA",86559.72,103709.78,86946.47,111296.63,123595.97,91435.08,72274.51,85565.82,71313.25,3851.83,5270.19,5883.63,4383.39,8017.33,6312.41,3317.72,7693.25,2518.81,3714.99,5090,5679.98,4006,7727,6089,3210,7400.99,2374.99
"35","YFL039C_mRNA",214122.81,225603.48,189304.67,254688.35,237350.51,193333.86,307141.18,206800.56,163354.75,38429.53,45422.37,49771.73,50718.81,60642.26,51721.77,53718.92,65625.64,25568.22,37049,43762,47921,46475.99,58124.97,49244.03,51759.05,62659.92,24057.97
"36","YFL039C_pre-mRNA",1524.43,2082.17,1301.97,2161.34,1695.55,1097.04,1787.16,1535.53,1083.46,5.95,17.85,11.31,11.93,0,0,11.92,0,0,0,0,0,0,0,0,5.95,0,0
"37","YDR448W_mRNA",2171.13,2378.1,1833.78,2734.04,2492.92,2210.68,2761.7,3028.03,2883.38,147,213.5,238.02,221.19,266.8,257.74,174.84,184.03,104.15,142,204,226,204,254,251,167,173,93
"38","YMR184W_mRNA",2573,2712,2132,3751,2837,2842,9033,5171.08,5377.01,112.04,97.12,107.06,197.11,145.15,125.54,523.96,439.25,230.03,101,85,90.69,178,128,107,495,376,198
