gene	YPA_WT_pre_shift.TE	YPA_4Gts_pre_shift.TE	YPA_WT_0h.TE	YPA_4Gts_0h.TE	YPA_WT_2h.TE	YPA_4Gts_2h.TE
YAL008W	2.673383911	4.758220119	2.665622147	3.309301776	2.917747835	2.699690826
YBR255W	0.854861134	1.17135716	0.814680077	1.010513383	1.618434755	1.172969118
YBR135W	1.858837251	1.407390031	2.173031247	1.373637293	2.63259523	2.211669792
YBR160W	1.532250588	1.486943787	1.536815356	1.400365628	1.918632504	2.283672896
YJL082W	0.657353445	0.545537108	0.673975631	0.600086473	0.710324988	0.681058368
YPL191C	1.028224581	1.227680257	0.972938503	1.519955633	1.056009946	0.825188517
YGL215W	0.370759844	0.309695555	0.420648068	0.303215147	0.376718661	0.251635019
YKL074C	0.991264436	1.420483996	0.872725668	1.141430096	0.994965425	1.01238406
YKL096W-A	1.669570704	1.478217662	2.096598782	1.549336078	2.38724526	4.249672923
YIL124W	1.777743299	1.992717312	1.664253892	1.977007377	2.176425562	2.921817287
YGL141W	0.687791389	0.65540222	0.680287597	0.803228586	0.672739161	0.743521408
YJL179W	1.317628396	1.776366018	1.745834446	1.911684036	1.574777096	1.799793884
YKL029C	1.450429325	1.406383931	1.265866225	0.752391334	1.06921007	1.278577351
YLR220W	2.348758722	2.847266354	2.501997337	2.726749675	2.918427487	3.033075465
YHR025W	1.511684077	1.265040695	1.730175506	1.266292061	1.828979024	2.346512095
YOL034W	0.467996894	0.604986665	0.465368128	0.580906388	0.423739643	0.488659122
YBL008W	0.98143038	0.764011731	0.860139871	0.933986728	0.860026533	0.803375738
YIL062C	2.561761813	2.375336532	2.353996644	2.628748101	3.035220297	3.126773064
YOL116W	0.623995859	1.145026232	0.797100139	0.648478125	0.689275766	0.976430234
YDR196C	1.196964653	2.109203509	1.362053058	1.621195312	1.12829298	1.726909669
YBR280C	0.993487264	0.947354118	1.265244687	1.375965491	1.453471633	1.189012768
YNR032W	0.938572284	1.003050355	1.042552563	1.158143543	0.876765305	0.916473991
YNR045W	0.688934835	0.748427052	0.799570722	1.038018481	0.788259479	0.674922707
YML105C	2.053225888	2.154088631	2.434150946	2.255577949	1.979364097	2.887337498
YNL288W	1.429673143	1.641355126	1.519592733	1.472585742	1.810961056	1.526207126
YNR018W	1.571745838	1.651860141	1.397777256	1.298164043	1.267678336	1.320417504
YNL003C	0.678500406	0.656842665	0.76391054	0.886764359	0.871208205	0.803952048
YFR047C	1.578039114	1.754461328	1.988023389	2.247794726	2.258203087	1.822291308
YLR355C	2.138907845	1.93589716	2.353529755	1.904909553	2.383860427	2.126006526
YGR099W	0.713044276	0.548708836	0.683700923	0.492301392	0.438650285	0.783133455
YLR300W	1.302439224	1.182512942	1.226307905	1.033348645	0.912826535	1.483338413
YBL003C	1.97904021	2.003729689	2.339546282	2.403646446	1.64116072	2.851981078
YJR140C	0.511747597	0.540247438	0.366351837	0.442805503	0.424247837	0.409284679
YOR033C	0.411618189	0.377920241	0.535709057	0.338439011	0.44861961	0.285178608
YHR112C	1.255952173	0.970814539	1.274695503	1.431207299	1.514993579	1.707372036
YHR007C	1.003578517	1.023571438	0.907986485	1.07231637	0.90433742	1.099636058
YKR084C	1.211156071	1.233347815	1.256245408	1.405650026	1.256971839	1.259579677
YCR046C	1.955861975	1.925874217	2.565298344	2.082282803	3.21633997	1.831636392
YNL144C	0.582739934	0.460592058	0.754651019	0.590217691	0.914247588	0.588248422
YKL204W	1.754737102	1.987545338	2.056129241	1.565787371	2.527784038	1.806891663
YOR266W	0.892486397	0.749471715	0.92471322	0.917975527	0.673926347	0.712718378
YDR393W	0.723544195	0.729726183	0.659039125	0.816080244	0.609888097	0.515395521
YGL171W	1.337209251	1.548818931	1.143410634	1.223265554	1.623425816	1.092009773
YGR019W	1.267945196	1.3351915	1.891740359	1.668965234	2.490682105	2.283672896
YNL208W	2.827051118	2.850260483	3.142326969	3.265791462	4.483079512	4.338216051
YNL277W	0.745601024	0.541512654	0.801550235	0.865015401	0.259202441	0.462804142
YDR077W	2.362196983	1.703206858	2.828833091	1.719507677	2.584062316	3.958418334
YMR266W	0.530929048	0.581587381	0.522655829	0.492247747	0.331203119	0.438261498
YKR064W	0.397111399	0.359046434	0.334574343	0.404503605	0.41793882	0.407468864
