sample	feature	imp_ave	imp_sd	sig
WT	aa_m01	5.11806955212153	1.56517696683093	p < 0.05
WT	aa_m02	1.64173199636324	1.42921266113646	ns
WT	l_utr3	2.55337287710203	1.34256418699535	p < 0.05
WT	nis_stop	0.135278224722795	1.0921826385816	ns
WT	nt_m01	-0.345670859665883	1.04649499315613	ns
WT	nt_m02	0.184534700821694	1.07246731724898	ns
WT	nt_m03	2.36958360669688	1.26385091861653	p < 0.05
WT	nt_m04	0.263053730378409	0.884579832159487	ns
WT	nt_m05	1.54061367951329	1.42621442071958	ns
WT	nt_m06	2.3395417704938	1.166053596204	p < 0.05
WT	nt_m07	-0.0624305182512066	1.0612453661388	ns
WT	nt_m08	0.423891268045648	0.833767854336315	ns
WT	nt_m09	0.689264536579825	1.00210917844711	ns
WT	nt_m10	-0.124102754229988	0.830785519803258	ns
WT	nt_m11	-0.0500373963807952	1.34045075675494	ns
WT	nt_m12	-0.320288402433055	1.16416898978669	ns
WT	nt_m13	-0.653395476952523	0.811571342810546	ns
WT	nt_m14	0.0678824191875181	1.03890142846062	ns
WT	nt_m15	0.587270452498326	1.02172834788837	ns
WT	nt_m16	-0.0639610586619278	1.18052666110413	ns
WT	nt_m17	-0.0613864172531188	0.938260868201471	ns
WT	nt_m18	-0.492130260622454	1.005207027912	ns
WT	nt_p04	1.45472901876152	1.00811634995236	ns
WT	nt_p05	-0.201368942427295	0.993638842990621	ns
WT	nt_p06	0.667426843037024	1.00403803557087	ns
WT	nt_p07	0.0962510648847473	1.20626811758555	ns
WT	nt_p08	-0.09718785765249	0.872861457946376	ns
WT	nt_p09	0.584771844891063	1.00158568714806	ns
WT	nt_p10	0.166802400053499	1.03377828957833	ns
WT	nt_p11	-0.688983748256087	1.13929603091895	ns
WT	nt_p12	-0.353825918487914	0.833285526653881	ns
WT	nt_p13	0.939193604400732	1.05638481980974	ns
WT	nt_p14	-0.0186197736798188	0.938878077961215	ns
WT	nt_p15	-0.387529875464932	0.916779437604427	ns
WT	nt_p16	-0.314996219344773	1.0542904805372	ns
WT	random_factor	-0.34763577395663	0.937470468315986	ns
WT	random_num	-0.320535562327195	1.09240406325078	ns
WT	stop_codon	3.85719095795452	0.782058548021111	p < 0.05
WT	tunnel_central_aromatic	0.297408919514893	0.956697023965389	ns
WT	tunnel_central_hydrophilic	0.215447187618496	0.718740444671172	ns
WT	tunnel_central_hydrophobic	0.602031245544312	1.00835710267718	ns
WT	tunnel_central_neg_charge	-0.0487796937304374	0.941154372078703	ns
WT	tunnel_central_neutral	0.578856646461042	1.02685116507482	ns
WT	tunnel_central_no_charge	0.0873155826447773	0.858948102249782	ns
WT	tunnel_central_nonpolar	-0.0835474534286585	1.04097091086648	ns
WT	tunnel_central_polar	-0.128594618136245	0.948683771095863	ns
WT	tunnel_central_pos_charge	0.363712848267177	1.14903905457692	ns
