IP,TE_change,IP_change,Freq,percent
eIF4G1,Reference,Depleted in IP,1158,17.6121673003802
eIF4G1,Up,Depleted in IP,91,42.9245283018868
eIF4G1,Down,Depleted in IP,20,7.75193798449612
eIF4G1,Reference,Enriched in IP,1054,16.0304182509506
eIF4G1,Up,Enriched in IP,32,15.0943396226415
eIF4G1,Down,Enriched in IP,61,23.6434108527132
eIF4G1,Reference,Unchanged,4363,66.3574144486692
eIF4G1,Up,Unchanged,89,41.9811320754717
eIF4G1,Down,Unchanged,177,68.6046511627907
eIF4G2,Reference,Depleted in IP,1238,18.828897338403
eIF4G2,Up,Depleted in IP,104,49.0566037735849
eIF4G2,Down,Depleted in IP,14,5.42635658914729
eIF4G2,Reference,Enriched in IP,1212,18.4334600760456
eIF4G2,Up,Enriched in IP,29,13.6792452830189
eIF4G2,Down,Enriched in IP,91,35.2713178294574
eIF4G2,Reference,Unchanged,4125,62.7376425855513
eIF4G2,Up,Unchanged,79,37.2641509433962
eIF4G2,Down,Unchanged,153,59.3023255813954
Pab1p,Reference,Depleted in IP,711,10.8136882129278
Pab1p,Up,Depleted in IP,34,16.0377358490566
Pab1p,Down,Depleted in IP,17,6.58914728682171
Pab1p,Reference,Enriched in IP,616,9.36882129277567
Pab1p,Up,Enriched in IP,41,19.3396226415094
Pab1p,Down,Enriched in IP,16,6.2015503875969
Pab1p,Reference,Unchanged,5248,79.8174904942966
Pab1p,Up,Unchanged,137,64.622641509434
Pab1p,Down,Unchanged,225,87.2093023255814
