sample	repeats	fold	dataset	auc
WT	1	1	traning	0.751024930747922
WT	1	1	testing	0.822916666666667
WT	1	2	traning	0.770997807017544
WT	1	2	testing	0.767210144927536
WT	1	3	traning	0.765263157894737
WT	1	3	testing	0.770833333333333
WT	1	4	traning	0.724616228070175
WT	1	4	testing	0.865036231884058
WT	1	5	traning	0.778005540166205
WT	1	5	testing	0.700520833333333
WT	2	1	traning	0.748421052631579
WT	2	1	testing	0.684027777777778
WT	2	2	traning	0.727091412742382
WT	2	2	testing	0.730034722222222
WT	2	3	traning	0.704376731301939
WT	2	3	testing	0.821180555555556
WT	2	4	traning	0.782603878116343
WT	2	4	testing	0.7578125
WT	2	5	traning	0.748969184027778
WT	2	5	testing	0.790170132325142
WT	3	1	traning	0.762061403508772
WT	3	1	testing	0.758152173913043
WT	3	2	traning	0.730098684210526
WT	3	2	testing	0.855072463768116
WT	3	3	traning	0.759667590027701
WT	3	3	testing	0.786458333333333
WT	3	4	traning	0.758891966759003
WT	3	4	testing	0.774305555555556
WT	3	5	traning	0.774127423822715
WT	3	5	testing	0.723090277777778
WT	4	1	traning	0.719113573407202
WT	4	1	testing	0.751736111111111
WT	4	2	traning	0.768365650969529
WT	4	2	testing	0.778645833333333
WT	4	3	traning	0.746107456140351
WT	4	3	testing	0.749094202898551
WT	4	4	traning	0.698629385964912
WT	4	4	testing	0.830615942028985
WT	4	5	traning	0.765263157894737
WT	4	5	testing	0.777777777777778
WT	5	1	traning	0.756232686980609
WT	5	1	testing	0.854166666666667
WT	5	2	traning	0.797580295138889
WT	5	2	testing	0.727788279773157
WT	5	3	traning	0.707257617728532
WT	5	3	testing	0.861111111111111
WT	5	4	traning	0.702105263157895
WT	5	4	testing	0.829861111111111
WT	5	5	traning	0.783767313019391
WT	5	5	testing	0.766493055555556
pbp1d	1	1	traning	0.794529262086514
pbp1d	1	1	testing	0.798295454545455
pbp1d	1	2	traning	0.709200786490863
pbp1d	1	2	testing	0.874526515151515
pbp1d	1	3	traning	0.770875823087233
pbp1d	1	3	testing	0.757575757575758
pbp1d	1	4	traning	0.821921799428938
pbp1d	1	4	testing	0.743342516069789
pbp1d	1	5	traning	0.789202260940505
pbp1d	1	5	testing	0.754820936639119
pbp1d	2	1	traning	0.791591399102616
pbp1d	2	1	testing	0.832415059687787
pbp1d	2	2	traning	0.76732125167531
pbp1d	2	2	testing	0.786960514233242
pbp1d	2	3	traning	0.755900005827166
pbp1d	2	3	testing	0.848943985307622
pbp1d	2	4	traning	0.753672218366875
pbp1d	2	4	testing	0.803977272727273
pbp1d	2	5	traning	0.767146657413833
pbp1d	2	5	testing	0.782670454545455
pbp1d	3	1	traning	0.744129130004079
pbp1d	3	1	testing	0.809458218549128
pbp1d	3	2	traning	0.772206800832755
pbp1d	3	2	testing	0.806818181818182
pbp1d	3	3	traning	0.786057136247976
pbp1d	3	3	testing	0.722064393939394
pbp1d	3	4	traning	0.78757065439077
pbp1d	3	4	testing	0.787878787878788
pbp1d	3	5	traning	0.743517277547928
pbp1d	3	5	testing	0.776859504132231
pbp1d	4	1	traning	0.800543603978718
pbp1d	4	1	testing	0.78030303030303
pbp1d	4	2	traning	0.757036303245732
pbp1d	4	2	testing	0.860881542699725
pbp1d	4	3	traning	0.723151331507488
pbp1d	4	3	testing	0.888429752066116
pbp1d	4	4	traning	0.734270182743465
pbp1d	4	4	testing	0.786931818181818
pbp1d	4	5	traning	0.816473398986073
pbp1d	4	5	testing	0.769972451790634
pbp1d	5	1	traning	0.762805197832294
pbp1d	5	1	testing	0.81267217630854
pbp1d	5	2	traning	0.734630849018122
pbp1d	5	2	testing	0.803030303030303
pbp1d	5	3	traning	0.771720762193345
pbp1d	5	3	testing	0.808539944903581
pbp1d	5	4	traning	0.783686097617395
pbp1d	5	4	testing	0.787878787878788
pbp1d	5	5	traning	0.778886190145732
pbp1d	5	5	testing	0.808712121212121
pab1d	1	1	traning	0.722893016855865
pab1d	1	1	testing	0.783776301218162
pab1d	1	2	traning	0.775069204152249
pab1d	1	2	testing	0.734180638182802
pab1d	1	3	traning	0.748127629014056
pab1d	1	3	testing	0.728741496598639
pab1d	1	4	traning	0.736291709666323
pab1d	1	4	testing	0.763842746400886
pab1d	1	5	traning	0.748010380622837
pab1d	1	5	testing	0.764196863169281
pab1d	2	1	traning	0.737868061967785
pab1d	2	1	testing	0.74234693877551
pab1d	2	2	traning	0.719178550665162
pab1d	2	2	testing	0.832482993197279
pab1d	2	3	traning	0.742231833910035
pab1d	2	3	testing	0.713628988642509
pab1d	2	4	traning	0.696072664359862
pab1d	2	4	testing	0.750946457544619
pab1d	2	5	traning	0.735328719723183
pab1d	2	5	testing	0.761222282314765
pab1d	3	1	traning	0.731045751633987
pab1d	3	1	testing	0.69296788482835
pab1d	3	2	traning	0.764861591695502
pab1d	3	2	testing	0.742022714981071
pab1d	3	3	traning	0.729232926370507
pab1d	3	3	testing	0.768707482993197
pab1d	3	4	traning	0.725541795665635
pab1d	3	4	testing	0.758582502768549
pab1d	3	5	traning	0.729636678200692
pab1d	3	5	testing	0.818550567874527
pab1d	4	1	traning	0.746026831785346
pab1d	4	1	testing	0.717331118493909
pab1d	4	2	traning	0.734619199069799
pab1d	4	2	testing	0.686224489795918
pab1d	4	3	traning	0.720743034055728
