distance	region	strain	count_rep1	count_rep2	count_rep3	count_pool	fraction
-40	Distance from stop (nt)	WT	3641	3968	3271	10880	0.00622099276294987
-39	Distance from stop (nt)	WT	893	899	845	2637	0.00150779024962305
-38	Distance from stop (nt)	WT	18533	19792	21524	59849	0.0342206062380319
-37	Distance from stop (nt)	WT	2836	2999	2530	8365	0.00478295996894078
-36	Distance from stop (nt)	WT	1048	1148	911	3107	0.00177652798846372
-35	Distance from stop (nt)	WT	20963	24430	24705	70098	0.0400808042920276
-34	Distance from stop (nt)	WT	3071	3436	2775	9282	0.00530728445089161
-33	Distance from stop (nt)	WT	1574	1812	1826	5212	0.00298012998901606
-32	Distance from stop (nt)	WT	27320	30310	33631	91261	0.0521814357113574
-31	Distance from stop (nt)	WT	3218	3913	3161	10292	0.00588478469818751
-30	Distance from stop (nt)	WT	1251	1243	1218	3712	0.00212245635441819
-29	Distance from stop (nt)	WT	24596	26808	30491	81895	0.0468261215369283
-28	Distance from stop (nt)	WT	3481	3996	3307	10784	0.00616610165033561
-27	Distance from stop (nt)	WT	965	1021	940	2926	0.00167303536988891
-26	Distance from stop (nt)	WT	17815	18484	19908	56207	0.0321381746532283
-25	Distance from start (nt)	WT	47	78	55	180	0.000102920836151744
-25	Distance from stop (nt)	WT	2675	3080	2736	8491	0.004855004554247
-24	Distance from start (nt)	WT	40	49	47	136	7.77624095368734e-05
-24	Distance from stop (nt)	WT	765	882	848	2495	0.00142659714554779
-23	Distance from start (nt)	WT	46	58	62	166	9.49158822288308e-05
-23	Distance from stop (nt)	WT	16616	18720	20745	56081	0.032066130067922
-22	Distance from start (nt)	WT	64	94	66	224	0.000128079262766615
-22	Distance from stop (nt)	WT	2385	2742	2337	7464	0.00426778400575899
-21	Distance from start (nt)	WT	47	52	44	143	8.17648864983301e-05
-21	Distance from stop (nt)	WT	848	929	902	2679	0.00153180511139179
-20	Distance from start (nt)	WT	45	40	44	129	7.37599325754167e-05
-20	Distance from stop (nt)	WT	18574	20316	23148	62038	0.0354722379621217
-19	Distance from start (nt)	WT	71	87	83	241	0.000137799563958724
-19	Distance from stop (nt)	WT	2327	2721	2256	7304	0.00417629881806855
-18	Distance from start (nt)	WT	39	69	61	169	9.66312294980265e-05
-18	Distance from stop (nt)	WT	1004	983	1048	3035	0.00173535965400302
-17	Distance from start (nt)	WT	65	74	72	211	0.000120646091266767
-17	Distance from stop (nt)	WT	17536	19407	22024	58967	0.0337162941408883
-16	Distance from start (nt)	WT	71	83	87	241	0.000137799563958724
-16	Distance from stop (nt)	WT	2558	3115	2616	8289	0.00473950450478782
-15	Distance from start (nt)	WT	60	92	52	204	0.00011664361430531
-15	Distance from stop (nt)	WT	965	1157	937	3059	0.00174908243215659
-14	Distance from start (nt)	WT	45	59	59	163	9.3200534959635e-05
-14	Distance from stop (nt)	WT	23986	26198	27192	77376	0.0442422367670964
-13	Distance from start (nt)	WT	75	80	93	248	0.000141802040920181
-13	Distance from stop (nt)	WT	3200	3474	2811	9485	0.00542335628277385
-12	Distance from start (nt)	WT	40	71	63	174	9.94901416133527e-05
-12	Distance from stop (nt)	WT	877	816	779	2472	0.00141344614981729
-11	Distance from start (nt)	WT	52	46	50	148	8.46237986136563e-05
-11	Distance from stop (nt)	WT	18372	18224	18985	55581	0.0317802388563894
-10	Distance from start (nt)	WT	151	139	147	437	0.000249868918879512
-10	Distance from stop (nt)	WT	3627	4044	2971	10642	0.00608490854626034
-9	Distance from start (nt)	WT	62	69	82	213	0.000121789656112897
-9	Distance from stop (nt)	WT	1576	1741	1695	5012	0.00286577350440301
-8	Distance from start (nt)	WT	38	40	45	123	7.03292380370252e-05
-8	Distance from stop (nt)	WT	24595	25223	27448	77266	0.0441793407005593
-7	Distance from start (nt)	WT	70	120	104	294	0.000168104032381182
