sample,region,frame,count,fraction
WT_1,cds,0,7916566,0.81974830887225
WT_1,cds,1,1256414,0.130099749278086
WT_1,cds,2,424781,0.0439854232745692
WT_1,5utr,2,2910,0.000301326052080946
WT_1,start,0,33762,0.00349600349496801
WT_1,start,1,6808,0.000704957994009307
WT_1,start,2,2762,0.000286000878298135
WT_1,stop,0,1627,0.000168473363139416
WT_1,5utr,0,2059,0.000213206302829783
WT_1,stop,1,1748,0.000181002728191579
WT_1,stop,2,1394,0.000144346569278639
WT_1,extension,0,840,8.69807160646031e-05
WT_1,extension,2,622,6.44071492764085e-05
WT_1,extension,1,726,7.51761903129784e-05
WT_1,distal_3utr,1,848,8.78091038366469e-05
WT_1,distal_3utr,2,787,8.14926470748126e-05
WT_1,distal_3utr,0,601,6.22326313747934e-05
WT_1,5utr,1,2058,0.000213102754358278
WT_2,start,0,47541,0.00453681427098679
WT_2,cds,0,8528788,0.813898048266146
WT_2,cds,2,459238,0.0438248566958926
WT_2,cds,1,1407618,0.134328294114509
WT_2,5utr,0,2482,0.000236856040482724
WT_2,5utr,1,2726,0.000260140840594644
WT_2,5utr,2,3389,0.00032341060483318
WT_2,start,2,3838,0.000366258454219459
WT_2,start,1,9319,0.000889307591159754
WT_2,stop,0,3667,0.000349940008239384
WT_2,stop,1,3578,0.000341446781969052
WT_2,stop,2,1746,0.000166619922112344
WT_2,extension,0,925,8.82722955062531e-05
WT_2,extension,2,622,5.93571543836642e-05
WT_2,extension,1,793,7.56756003637391e-05
WT_2,distal_3utr,1,972,9.27574824130573e-05
WT_2,distal_3utr,0,737,7.03315478790362e-05
WT_2,distal_3utr,2,960,9.16123283091924e-05
WT_3,start,1,6724,0.000616823239228343
WT_3,start,0,43059,0.00394999878910369
WT_3,cds,0,9202492,0.844186633612867
WT_3,cds,1,1189821,0.109147716139486
WT_3,cds,2,437901,0.0401706593220302
WT_3,5utr,0,2297,0.000210714304061199
WT_3,5utr,2,3004,0.000275570644057398
WT_3,5utr,1,2460,0.000225667038742077
WT_3,start,2,3107,0.000285019304622615
WT_3,stop,1,2315,0.000212365526295898
WT_3,distal_3utr,0,619,5.67836979598966e-05
WT_3,stop,0,2443,0.000224107551075973
WT_3,stop,2,1299,0.000119163204604048
WT_3,extension,0,728,6.67827659366797e-05
WT_3,extension,1,650,5.96274695863211e-05
WT_3,extension,2,515,4.72433028260852e-05
WT_3,distal_3utr,2,750,6.88009264457551e-05
WT_3,distal_3utr,1,832,7.6323161070491e-05
pbp1d_1,start,2,4482,0.000366212792674045
pbp1d_1,cds,0,9809538,0.801512339540866
pbp1d_1,cds,2,610940,0.0499183497448195
pbp1d_1,cds,1,1697515,0.138699622658653
pbp1d_1,start,0,60006,0.0049029372684513
pbp1d_1,5utr,2,5661,0.000462545876690711
pbp1d_1,start,1,14710,0.00120191659532244
pbp1d_1,5utr,0,3602,0.000294310236325727
pbp1d_1,stop,0,5712,0.000466712956660898
pbp1d_1,stop,2,5638,0.000460666605331607
pbp1d_1,extension,2,1332,0.000108834323927226
pbp1d_1,stop,1,6865,0.000560921646967273
pbp1d_1,extension,0,2601,0.000212521078479516
pbp1d_1,extension,1,2582,0.000210968636921995
pbp1d_1,distal_3utr,0,1007,8.22794025485861e-05
pbp1d_1,5utr,1,4050,0.000330915174103052
pbp1d_1,distal_3utr,2,1223,9.99282118340822e-05
pbp1d_1,distal_3utr,1,1322,0.000108017249423268
