transcript_id	gene_id
YMR056C_mRNA	AAC1
YBR085W_mRNA	AAC3
YJR155W_mRNA	AAD10
YNL331C_mRNA	AAD14
YOL165C_mRNA	AAD15
YCR107W_mRNA	AAD3
YDL243C_mRNA	AAD4
YNL141W_mRNA	AAH1
YHR047C_mRNA	AAP1
YBL074C_mRNA	AAR2
YKL106W_mRNA	AAT1
YLR027C_mRNA	AAT2
YBR236C_mRNA	ABD1
YKL112W_mRNA	ABF1
YMR072W_mRNA	ABF2
YJR108W_mRNA	ABM1
YCR088W_mRNA	ABP1
YOR239W_pre-mRNA	ABP140
YNR033W_mRNA	ABZ1
YMR289W_mRNA	ABZ2
YER045C_mRNA	ACA1
YGR037C_mRNA	ACB1
YNR016C_mRNA	ACC1
YLR131C_mRNA	ACE2
YLR144C_mRNA	ACF2
YJR083C_mRNA	ACF4
YBL015W_mRNA	ACH1
YDL203C_mRNA	ACK1
YPL267W_mRNA	ACM1
YLR304C_mRNA	ACO1
YJL200C_mRNA	ACO2
YKL192C_mRNA	ACP1
YAL054C_mRNA	ACS1
YLR153C_mRNA	ACS2
YFL039C_mRNA	ACT1
YFL039C_pre-mRNA	ACT1
YDR448W_mRNA	ADA2
YMR184W_mRNA	ADD37
YKL206C_mRNA	ADD66
YAR015W_mRNA	ADE1
YNL220W_mRNA	ADE12
YLR359W_mRNA	ADE13
YLR028C_mRNA	ADE16
YMR120C_mRNA	ADE17
YOR128C_mRNA	ADE2
YGR204W_mRNA	ADE3
YMR300C_mRNA	ADE4
YGL234W_mRNA	ADE5%2C7
YGR061C_mRNA	ADE6
YDR408C_mRNA	ADE8
YCL058W-A_mRNA	ADF1
YOL086C_mRNA	ADH1
YMR303C_mRNA	ADH2
YMR083W_mRNA	ADH3
YGL256W_mRNA	ADH4
YBR145W_mRNA	ADH5
YMR318C_mRNA	ADH6
YCR105W_mRNA	ADH7
YMR009W_mRNA	ADI1
YDR226W_mRNA	ADK1
YER170W_mRNA	ADK2
YJR105W_mRNA	ADO1
YCR011C_mRNA	ADP1
YDR216W_mRNA	ADR1
YCR010C_mRNA	ADY2
YDL239C_mRNA	ADY3
YLR227C_mRNA	ADY4
YMR064W_mRNA	AEP1
YMR282C_mRNA	AEP2
YPL005W_mRNA	AEP3
YLR040C_mRNA	AFB1
YEL052W_mRNA	AFG1
YLR397C_mRNA	AFG2
YER017C_mRNA	AFG3
YOR129C_mRNA	AFI1
YDR085C_mRNA	AFR1
YGL071W_mRNA	AFT1
YPL202C_mRNA	AFT2
YNR044W_mRNA	AGA1
YGL032C_mRNA	AGA2
YPR021C_mRNA	AGC1
YDR524C_mRNA	AGE1
YIL044C_mRNA	AGE2
YCL025C_mRNA	AGP1
YBR132C_mRNA	AGP2
YFL055W_mRNA	AGP3
YFL030W_mRNA	AGX1
YDR214W_mRNA	AHA1
YOR023C_mRNA	AHC1
YCR082W_mRNA	AHC2
YLR109W_mRNA	AHP1
YHR093W_mRNA	AHT1
YNR074C_mRNA	AIF1
YAL046C_mRNA	AIM1
YER087W_mRNA	AIM10
YER093C-A_mRNA	AIM11
YER093C-A_pre-mRNA	AIM11
YGL160W_mRNA	AIM14
YHL021C_mRNA	AIM17
YHR198C_mRNA	AIM18
YIL087C_mRNA	AIM19
YAL049C_mRNA	AIM2
YIL158W_mRNA	AIM20
YIR003W_mRNA	AIM21
YJL046W_mRNA	AIM22
YJL131C_mRNA	AIM23
YJR080C_mRNA	AIM24
